Sno,time,distance,Diffusion
1,456.4417178,0.006426267,Dgb
2,598.7730061,0.000727658,Db
3,181.595092,0.000400726,Db
4,265.0306748,0.00048411,Db
5,476.0736196,0.006563011,Dgb
6,392.6380368,0.00596022,Dgb
7,80.98159509,0.002706819,Dgb
8,255.2147239,0.004805283,Dgb
9,320.2453988,0.000532154,Db
10,166.8711656,0.000384137,Db
11,144.7852761,0.003619331,Dgb
12,560.7361963,0.007122712,Dgb
13,566.8711656,0.000708008,Db
14,338.6503067,0.005535309,Dgb
15,533.7423313,0.000687008,Db
16,153.3742331,0.000368275,Db
17,571.7791411,0.000711066,Db
18,447.8527607,0.000629309,Db
19,559.5092025,0.007114915,Dgb
20,202.4539877,0.004279857,Dgb
21,393.8650307,0.00059016,Db
22,203.6809816,0.000424396,Db
23,527.607362,0.000683048,Db
24,269.9386503,0.000488572,Db
25,319.0184049,0.00537247,Dgb
26,496.9325153,0.000662895,Db
27,139.8773006,0.000351698,Db
28,34.35582822,0.001763057,Dgb
29,404.9079755,0.006052632,Dgb
30,7.36196319,8.07E-05,Db
31,512.8834356,0.006812013,Dgb
32,573.006135,0.000711829,Db
33,431.9018405,0.000618,Db
34,3.680981595,0.000577096,Dgb
35,285.8895706,0.0005028,Db
36,294.4785276,0.005161702,Dgb
37,445.398773,0.000627582,Db
38,12.26993865,0.000104164,Db
39,374.2331288,0.000575264,Db
40,364.4171779,0.005742031,Dgb
41,236.809816,0.00045761,Db
42,549.6932515,0.000697198,Db
43,165.6441718,0.003871276,Dgb
44,414.7239264,0.006125558,Dgb
45,127.607362,0.003397848,Dgb
46,212.2699387,0.000433252,Db
47,283.4355828,0.000500637,Db
48,53.98773006,0.000218496,Db
49,477.3006135,0.006571464,Dgb
50,170.5521472,0.00392821,Dgb
51,25.76687117,0.001526852,Dgb
52,483.4355828,0.000653831,Db
53,485.8895706,0.006630326,Dgb
54,103.0674847,0.000301896,Db
55,159.5092025,0.000375568,Db
56,73.6196319,0.002580851,Dgb
